Country Name,Country Code,2022
Aruba,ABW,
Africa Eastern and Southern,AFE,4169.019532
Afghanistan,AFG,
Africa Western and Central,AFW,4798.434519
Angola,AGO,6973.696299
Albania,ALB,18551.71648
Andorra,AND,
Arab World,ARB,16913.65304
United Arab Emirates,ARE,87729.19126
Argentina,ARG,26504.59056
Armenia,ARM,18941.52681
American Samoa,ASM,
Antigua and Barbuda,ATG,25336.6426
Australia,AUS,62625.35764
Austria,AUT,67935.84797
Azerbaijan,AZE,17764.44559
Burundi,BDI,836.187569
Belgium,BEL,65027.2949
Benin,BEN,4056.108341
Burkina Faso,BFA,2545.863549
Bangladesh,BGD,7395.095987
Bulgaria,BGR,33582.28261
Bahrain,BHR,61227.89722
"Bahamas, The",BHS,40378.55175
Bosnia and Herzegovina,BIH,20376.89219
Belarus,BLR,22590.59092
Belize,BLZ,11450.9169
Bermuda,BMU,95837.03242
Bolivia,BOL,9683.617497
Brazil,BRA,17821.73726
Barbados,BRB,17837.45322
Brunei Darussalam,BRN,69274.98414
Bhutan,BTN,
Botswana,BWA,18323.0457
Central African Republic,CAF,967.2683238
Canada,CAN,58399.54548
Central Europe and the Baltics,CEB,42799.33029
Switzerland,CHE,83598.45336
Channel Islands,CHI,
Chile,CHL,30208.80553
China,CHN,21475.61053
Cote d'Ivoire,CIV,6538.29642
Cameroon,CMR,4408.046274
"Congo, Dem. Rep.",COD,1337.391115
"Congo, Rep.",COG,3790.711307
Colombia,COL,20287.40026
Comoros,COM,3832.468985
Cabo Verde,CPV,9082.837643
Costa Rica,CRI,24922.65927
Caribbean small states,CSS,21055.17319
Cuba,CUB,
Curacao,CUW,
Cayman Islands,CYM,
Cyprus,CYP,49930.86719
Czechia,CZE,49945.5001
Germany,DEU,63149.59869
Djibouti,DJI,5893.184863
Dominica,DMA,13572.97298
Denmark,DNK,74005.47852
Dominican Republic,DOM,22833.52575
Algeria,DZA,13209.59677
East Asia & Pacific (excluding high income),EAP,18818.8093
Early-demographic dividend,EAR,11550.16755
East Asia & Pacific,EAS,22397.12248
Europe & Central Asia (excluding high income),ECA,28289.46509
Europe & Central Asia,ECS,43894.58093
Ecuador,ECU,12822.11378
"Egypt, Arab Rep.",EGY,15090.99088
Euro area,EMU,56494.23591
Eritrea,ERI,
Spain,ESP,45825.19563
Estonia,EST,46697.35974
Ethiopia,ETH,2811.581744
European Union,EUU,54248.60751
Fragile and conflict affected situations,FCS,4932.191957
Finland,FIN,59026.70734
Fiji,FJI,14125.29575
France,FRA,55492.56555
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,3855.099602
Gabon,GAB,16470.58354
United Kingdom,GBR,54602.54438
Georgia,GEO,20113.37724
Ghana,GHA,6498.385727
Gibraltar,GIB,
Guinea,GIN,3187.019343
"Gambia, The",GMB,2509.829512
Guinea-Bissau,GNB,2190.439234
Equatorial Guinea,GNQ,17396.01797
Greece,GRC,36834.87109
Grenada,GRD,16987.12842
Greenland,GRL,
Guatemala,GTM,10818.17172
Guam,GUM,
Guyana,GUY,40641.78734
High income,HIC,60620.87664
"Hong Kong SAR, China",HKG,69049.43654
Honduras,HND,6741.096947
Heavily indebted poor countries (HIPC),HPC,3032.444267
Croatia,HRV,40379.57244
Haiti,HTI,3305.075955
Hungary,HUN,41906.65557
IBRD only,IBD,17027.55919
IDA & IBRD total,IBT,13662.2889
IDA total,IDA,4682.921408
IDA blend,IDB,6113.121683
Indonesia,IDN,14652.92828
IDA only,IDX,3992.648008
Isle of Man,IMN,
India,IND,8379.062487
Not classified,INX,
Ireland,IRL,126905.1985
